"Type","Incidents","startDate","endDate","Year"
"Community assistance responses",0,2022-02-28,2022-03-06,2022
"Escorts",5,2022-02-28,2022-03-06,2022
"Fire responses",0,2022-02-28,2022-03-06,2022
"Foot patrols",349,2022-02-28,2022-03-06,2022
"Held door checks",11,2022-02-28,2022-03-06,2022
"Maintenance issue responses",2,2022-02-28,2022-03-06,2022
"Medical assistance responses",2,2022-02-28,2022-03-06,2022
"Noise complaint responses",1,2022-02-28,2022-03-06,2022
"Suspicious circumstance responses",16,2022-02-28,2022-03-06,2022
"Theft reports taken",1,2022-02-28,2022-03-06,2022
"Unlocks",74,2022-02-28,2022-03-06,2022
"Vehicle patrols",254,2022-02-28,2022-03-06,2022
"Vehicle assistance responses",6,2022-02-28,2022-03-06,2022
"Welfare check responses",0,2022-02-28,2022-03-06,2022
"Alarm checks",9,2022-02-21,2022-02-27,2022
"Animal issue responses",0,2022-02-21,2022-02-27,2022
"AOD interactions",1,2022-02-21,2022-02-27,2022
"Building patrols",161,2022-02-21,2022-02-27,2022
"Candle/incense violation interactions",0,2022-02-21,2022-02-27,2022
"Community assistance responses",0,2022-02-21,2022-02-27,2022
"Escorts",5,2022-02-21,2022-02-27,2022
"Fire responses",0,2022-02-21,2022-02-27,2022
"Foot patrols",291,2022-02-21,2022-02-27,2022
"Held door checks",3,2022-02-21,2022-02-27,2022
"Maintenance issue responses",5,2022-02-21,2022-02-27,2022
"Medical assistance responses",3,2022-02-21,2022-02-27,2022
"Noise complaint responses",0,2022-02-21,2022-02-27,2022
"Suspicious circumstance responses",14,2022-02-21,2022-02-27,2022
"Theft reports taken",5,2022-02-21,2022-02-27,2022
"Unlocks",95,2022-02-21,2022-02-27,2022
"Vehicle patrols",243,2022-02-21,2022-02-27,2022
"Vehicle assistance responses",3,2022-02-21,2022-02-27,2022
"Welfare check responses",1,2022-02-21,2022-02-27,2022
"Alarm checks",9,2022-02-14,2022-02-20,2022
"Animal issue responses",1,2022-02-14,2022-02-20,2022
"AOD interactions",0,2022-02-14,2022-02-20,2022
"Building patrols",156,2022-02-14,2022-02-20,2022
"Candle/incense violation interactions",0,2022-02-14,2022-02-20,2022
"Community assistance responses",1,2022-02-14,2022-02-20,2022
"Escorts",3,2022-02-14,2022-02-20,2022
"Fire responses",0,2022-02-14,2022-02-20,2022
"Foot patrols",343,2022-02-14,2022-02-20,2022
"Held door checks",4,2022-02-14,2022-02-20,2022
"Maintenance issue responses",1,2022-02-14,2022-02-20,2022
"Medical assistance responses",4,2022-02-14,2022-02-20,2022
"Noise complaint responses",3,2022-02-14,2022-02-20,2022
"Suspicious circumstance responses",13,2022-02-14,2022-02-20,2022
"Theft reports taken",0,2022-02-14,2022-02-20,2022
"Unlocks",63,2022-02-14,2022-02-20,2022
"Vehicle patrols",256,2022-02-14,2022-02-20,2022
"Vehicle assistance responses",6,2022-02-14,2022-02-20,2022
"Welfare check responses",2,2022-02-14,2022-02-20,2022
"Alarm checks",8,2022-02-07,2022-02-13,2022
"Animal issue responses",0,2022-02-07,2022-02-13,2022
"AOD interactions",0,2022-02-07,2022-02-13,2022
"Building patrols",156,2022-02-07,2022-02-13,2022
"Candle/incense violation interactions",0,2022-02-07,2022-02-13,2022
"Community assistance responses",0,2022-02-07,2022-02-13,2022
"Escorts",2,2022-02-07,2022-02-13,2022
"Fire responses",0,2022-02-07,2022-02-13,2022
"Foot patrols",429,2022-02-07,2022-02-13,2022
"Held door checks",6,2022-02-07,2022-02-13,2022
"Maintenance issue responses",0,2022-02-07,2022-02-13,2022
"Medical assistance responses",0,2022-02-07,2022-02-13,2022
"Noise complaint responses",1,2022-02-07,2022-02-13,2022
"Suspicious circumstance responses",17,2022-02-07,2022-02-13,2022
"Theft reports taken",0,2022-02-07,2022-02-13,2022
"Unlocks",74,2022-02-07,2022-02-13,2022
"Vehicle patrols",281,2022-02-07,2022-02-13,2022
"Vehicle assistance responses",6,2022-02-07,2022-02-13,2022
"Welfare check responses",0,2022-02-07,2022-02-13,2022
"Alarm checks",11,2022-01-31,2022-02-06,2022
"Animal issue responses",0,2022-01-31,2022-02-06,2022
"AOD interactions",0,2022-01-31,2022-02-06,2022
"Building patrols",138,2022-01-31,2022-02-06,2022
"Candle/incense violation interactions",0,2022-01-31,2022-02-06,2022
"Community assistance responses",0,2022-01-31,2022-02-06,2022
"Escorts",2,2022-01-31,2022-02-06,2022
"Fire responses",0,2022-01-31,2022-02-06,2022
"Foot patrols",339,2022-01-31,2022-02-06,2022
"Held door checks",3,2022-01-31,2022-02-06,2022
"Maintenance issue responses",1,2022-01-31,2022-02-06,2022
"Medical assistance responses",1,2022-01-31,2022-02-06,2022
"Noise complaint responses",2,2022-01-31,2022-02-06,2022
"Suspicious circumstance responses",9,2022-01-31,2022-02-06,2022
"Theft reports taken",0,2022-01-31,2022-02-06,2022
"Unlocks",63,2022-01-31,2022-02-06,2022
"Vehicle patrols",220,2022-01-31,2022-02-06,2022
"Vehicle assistance responses",4,2022-01-31,2022-02-06,2022
"Welfare check responses",0,2022-01-31,2022-02-06,2022
"Alarm checks",5,2022-01-24,2022-01-30,2022
"Animal issue responses",0,2022-01-24,2022-01-30,2022
"AOD interactions",1,2022-01-24,2022-01-30,2022
"Building patrols",152,2022-01-24,2022-01-30,2022
"Candle/incense violation interactions",0,2022-01-24,2022-01-30,2022
"Community assistance responses",1,2022-01-24,2022-01-30,2022
"Escorts",0,2022-01-24,2022-01-30,2022
"Fire responses",0,2022-01-24,2022-01-30,2022
"Foot patrols",418,2022-01-24,2022-01-30,2022
"Held door checks",4,2022-01-24,2022-01-30,2022
"Maintenance issue responses",3,2022-01-24,2022-01-30,2022
"Medical assistance responses",2,2022-01-24,2022-01-30,2022
"Noise complaint responses",0,2022-01-24,2022-01-30,2022
"Suspicious circumstance responses",7,2022-01-24,2022-01-30,2022
"Theft reports taken",2,2022-01-24,2022-01-30,2022
"Unlocks",61,2022-01-24,2022-01-30,2022
"Vehicle patrols",210,2022-01-24,2022-01-30,2022
"Vehicle assistance responses",3,2022-01-24,2022-01-30,2022
"Welfare check responses",0,2022-01-24,2022-01-30,2022
"Alarm checks",7,2022-01-17,2022-01-23,2022
"Animal issue responses",0,2022-01-17,2022-01-23,2022
"AOD interactions",0,2022-01-17,2022-01-23,2022
"Building patrols",172,2022-01-17,2022-01-23,2022
"Candle/incense violation interactions",2,2022-01-17,2022-01-23,2022
"Community assistance responses",0,2022-01-17,2022-01-23,2022
"Escorts",0,2022-01-17,2022-01-23,2022
"Fire responses",0,2022-01-17,2022-01-23,2022
"Foot patrols",427,2022-01-17,2022-01-23,2022
"Held door checks",5,2022-01-17,2022-01-23,2022
"Maintenance issue responses",0,2022-01-17,2022-01-23,2022
"Medical assistance responses",0,2022-01-17,2022-01-23,2022
"Noise complaint responses",1,2022-01-17,2022-01-23,2022
"Suspicious circumstance responses",18,2022-01-17,2022-01-23,2022
"Theft reports taken",2,2022-01-17,2022-01-23,2022
"Unlocks",83,2022-01-17,2022-01-23,2022
"Vehicle patrols",238,2022-01-17,2022-01-23,2022
"Vehicle assistance responses",5,2022-01-17,2022-01-23,2022
"Welfare check responses",0,2022-01-17,2022-01-23,2022
"Alarm checks",5,2022-01-10,2022-01-16,2022
"Animal issue responses",0,2022-01-10,2022-01-16,2022
"AOD interactions",0,2022-01-10,2022-01-16,2022
"Building patrols",198,2022-01-10,2022-01-16,2022
"Community assistance responses",2,2022-01-10,2022-01-16,2022
"Escorts",1,2022-01-10,2022-01-16,2022
"Fire responses",0,2022-01-10,2022-01-16,2022
"Foot patrols",420,2022-01-10,2022-01-16,2022
"Held door checks",6,2022-01-10,2022-01-16,2022
"Maintenance issue responses",1,2022-01-10,2022-01-16,2022
"Medical assistance responses",0,2022-01-10,2022-01-16,2022
"Noise complaint responses",0,2022-01-10,2022-01-16,2022
"Suspicious circumstance responses",6,2022-01-10,2022-01-16,2022
"Theft reports taken",0,2022-01-10,2022-01-16,2022
"Unlocks",64,2022-01-10,2022-01-16,2022
"Vehicle patrols",295,2022-01-10,2022-01-16,2022
"Vehicle assistance responses",5,2022-01-10,2022-01-16,2022
"Welfare check responses",0,2022-01-10,2022-01-16,2022
"Alarm checks",6,2022-01-03,2022-01-09,2022
"Animal issue responses",0,2022-01-03,2022-01-09,2022
"AOD interactions",0,2022-01-03,2022-01-09,2022
"Building patrols",205,2022-01-03,2022-01-09,2022
"Community assistance responses",0,2022-01-03,2022-01-09,2022
"Escorts",0,2022-01-03,2022-01-09,2022
"Fire responses",0,2022-01-03,2022-01-09,2022
"Foot patrols",398,2022-01-03,2022-01-09,2022
"Held door checks",7,2022-01-03,2022-01-09,2022
"Maintenance issue responses",0,2022-01-03,2022-01-09,2022
"Medical assistance responses",3,2022-01-03,2022-01-09,2022
"Noise complaint responses",0,2022-01-03,2022-01-09,2022
"Suspicious circumstance responses",10,2022-01-03,2022-01-09,2022
"Theft reports taken",0,2022-01-03,2022-01-09,2022
"Unlocks",33,2022-01-03,2022-01-09,2022
"Vehicle patrols",250,2022-01-03,2022-01-09,2022
"Vehicle assistance responses",1,2022-01-03,2022-01-09,2022
"Welfare check responses",0,2022-01-03,2022-01-09,2022
"Alarm checks",8,2021-12-27,2022-01-02,2021
"Animal issue responses",0,2021-12-27,2022-01-02,2021
"AOD interactions",0,2021-12-27,2022-01-02,2021
"Building patrols",204,2021-12-27,2022-01-02,2021
"Community assistance responses",0,2021-12-27,2022-01-02,2021
"Escorts",0,2021-12-27,2022-01-02,2021
"Fire responses",0,2021-12-27,2022-01-02,2021
"Foot patrols",316,2021-12-27,2022-01-02,2021
"Held door checks",0,2021-12-27,2022-01-02,2021
"Maintenance issue responses",1,2021-12-27,2022-01-02,2021
"Medical assistance responses",0,2021-12-27,2022-01-02,2021
"Noise complaint responses",0,2021-12-27,2022-01-02,2021
"Suspicious circumstance responses",12,2021-12-27,2022-01-02,2021
"Theft reports taken",0,2021-12-27,2022-01-02,2021
"Unlocks",23,2021-12-27,2022-01-02,2021
"Vehicle patrols",273,2021-12-27,2022-01-02,2021
"Vehicle assistance responses",1,2021-12-27,2022-01-02,2021
"Welfare check responses",0,2021-12-27,2022-01-02,2021
"Alarm checks",3,NA,2021-12-26,NA
"Animal issue responses",0,NA,2021-12-26,NA
"AOD interactions",0,NA,2021-12-26,NA
"Building patrols",195,NA,2021-12-26,NA
"Community assistance responses",0,NA,2021-12-26,NA
"Escorts",0,NA,2021-12-26,NA
"Fire responses",0,NA,2021-12-26,NA
"Foot patrols",372,NA,2021-12-26,NA
"Held door checks",6,NA,2021-12-26,NA
"Maintenance issue responses",2,NA,2021-12-26,NA
"Medical assistance responses",0,NA,2021-12-26,NA
"Noise complaint responses",0,NA,2021-12-26,NA
"Suspicious circumstance responses",7,NA,2021-12-26,NA
"Theft reports taken",0,NA,2021-12-26,NA
"Unlocks",30,NA,2021-12-26,NA
"Vehicle patrols",238,NA,2021-12-26,NA
"Vehicle assistance responses",1,NA,2021-12-26,NA
"Welfare check responses",0,NA,2021-12-26,NA
"Alarm checks",3,NA,2021-12-19,NA
"Animal issue responses",0,NA,2021-12-19,NA
"AOD interactions",2,NA,2021-12-19,NA
"Building patrols",228,NA,2021-12-19,NA
"Community assistance responses",4,NA,2021-12-19,NA
"Escorts",3,NA,2021-12-19,NA
"Fire responses",0,NA,2021-12-19,NA
"Foot patrols",388,NA,2021-12-19,NA
"Held door checks",16,NA,2021-12-19,NA
"Maintenance issue responses",4,NA,2021-12-19,NA
"Medical assistance responses",4,NA,2021-12-19,NA
"Noise complaint responses",0,NA,2021-12-19,NA
"Suspicious circumstance responses",8,NA,2021-12-19,NA
"Theft reports taken",0,NA,2021-12-19,NA
"Unlocks",57,NA,2021-12-19,NA
"Vehicle patrols",256,NA,2021-12-19,NA
"Vehicle assistance responses",4,NA,2021-12-19,NA
"Welfare check responses",0,NA,2021-12-19,NA
"Alarm checks",3,NA,2021-12-12,NA
"Animal issue responses",1,NA,2021-12-12,NA
"AOD interactions",0,NA,2021-12-12,NA
"Building patrols",252,NA,2021-12-12,NA
"Community assistance responses",2,NA,2021-12-12,NA
"Escorts",8,NA,2021-12-12,NA
"Fire responses",0,NA,2021-12-12,NA
"Foot patrols",387,NA,2021-12-12,NA
"Held door checks",13,NA,2021-12-12,NA
"Maintenance issue responses",2,NA,2021-12-12,NA
"Medical assistance responses",2,NA,2021-12-12,NA
"Noise complaint responses",1,NA,2021-12-12,NA
"Suspicious circumstance responses",14,NA,2021-12-12,NA
"Theft reports taken",3,NA,2021-12-12,NA
"Unlocks",63,NA,2021-12-12,NA
"Vehicle patrols",306,NA,2021-12-12,NA
"Vehicle assistance responses",1,NA,2021-12-12,NA
"Welfare check responses",0,NA,2021-12-12,NA
"Alarm checks",5,NA,2021-12-05,NA
"Animal issue responses",1,NA,2021-12-05,NA
"AOD interactions",1,NA,2021-12-05,NA
"Building patrols",227,NA,2021-12-05,NA
"Community assistance responses",5,NA,2021-12-05,NA
"Escorts",4,NA,2021-12-05,NA
"Fire responses",0,NA,2021-12-05,NA
"Foot patrols",392,NA,2021-12-05,NA
"Held door checks",8,NA,2021-12-05,NA
"Maintenance issue responses",2,NA,2021-12-05,NA
"Medical assistance responses",4,NA,2021-12-05,NA
"Noise complaint responses",2,NA,2021-12-05,NA
"Suspicious circumstance responses",14,NA,2021-12-05,NA
"Theft reports taken",0,NA,2021-12-05,NA
"Unlocks",77,NA,2021-12-05,NA
"Vehicle patrols",300,NA,2021-12-05,NA
"Vehicle assistance responses",5,NA,2021-12-05,NA
"Welfare check responses",1,NA,2021-12-05,NA
"Alarm checks",15,NA,2021-11-21,NA
"Animal issue responses",1,NA,2021-11-21,NA
"AOD interactions",1,NA,2021-11-21,NA
"Building patrols",219,NA,2021-11-21,NA
"Community assistance responses",3,NA,2021-11-21,NA
"Escorts",5,NA,2021-11-21,NA
"Fire responses",2,NA,2021-11-21,NA
"Foot patrols",413,NA,2021-11-21,NA
"Held door checks",24,NA,2021-11-21,NA
"Medical assistance responses",4,NA,2021-11-21,NA
"Noise complaint responses",1,NA,2021-11-21,NA
"Suspicious circumstance responses",19,NA,2021-11-21,NA
"Unlocks",75,NA,2021-11-21,NA
"Vehicle patrols",301,NA,2021-11-21,NA
"Vehicle assistance responses",2,NA,2021-11-21,NA
"Alarm checks",9,NA,2021-11-14,NA
"AOD interactions",1,NA,2021-11-14,NA
"Building patrols",247,NA,2021-11-14,NA
"Community assistance responses",1,NA,2021-11-14,NA
"Escorts",7,NA,2021-11-14,NA
"Foot patrols",358,NA,2021-11-14,NA
"Held door checks",20,NA,2021-11-14,NA
"Medical assistance responses",2,NA,2021-11-14,NA
"Noise complaint responses",1,NA,2021-11-14,NA
"Suspicious circumstance responses",13,NA,2021-11-14,NA
"Unlocks",83,NA,2021-11-14,NA
"Vehicle patrols",284,NA,2021-11-14,NA
"Vehicle assistance responses",1,NA,2021-11-14,NA
"Building patrols",236,NA,2021-11-07,NA
"Community assistance responses",1,NA,2021-11-07,NA
"Escorts",5,NA,2021-11-07,NA
"Foot patrols",342,NA,2021-11-07,NA
"Held door checks",28,NA,2021-11-07,NA
"Medical assistance responses",2,NA,2021-11-07,NA
"Noise complaint responses",1,NA,2021-11-07,NA
"Suspicious circumstance responses",13,NA,2021-11-07,NA
"Unlocks",80,NA,2021-11-07,NA
"Vehicle patrols",289,NA,2021-11-07,NA
"Vehicle assistance responses",1,NA,2021-11-07,NA
"Alarm responses",6,NA,2021-10-24,NA
"Animal issue responses",2,NA,2021-10-24,NA
"Building patrols",184,NA,2021-10-24,NA
"Escorts",1,NA,2021-10-24,NA
"Foot patrols",253,NA,2021-10-24,NA
"Held door checks",10,NA,2021-10-24,NA
"Medical assistance responses",2,NA,2021-10-24,NA
"Suspicious circumstance responses",26,NA,2021-10-24,NA
"Unlocks",78,NA,2021-10-24,NA
"Vehicle patrols",210,NA,2021-10-24,NA
"Alarm responses",9,NA,2021-10-17,NA
"Animal issue responses",2,NA,2021-10-17,NA
"Building patrols",131,NA,2021-10-17,NA
"Escorts",1,NA,2021-10-17,NA
"Foot patrols",230,NA,2021-10-17,NA
"Held door checks",14,NA,2021-10-17,NA
"Medical assistance responses",6,NA,2021-10-17,NA
"Suspicious circumstance responses",17,NA,2021-10-17,NA
"Unlocks",84,NA,2021-10-17,NA
"Vehicle patrols",195,NA,2021-10-17,NA
"Vehicle assistance responses",3,NA,2021-10-17,NA
"Building patrols",190,NA,2021-10-10,NA
"Foot patrols",344,NA,2021-10-10,NA
"Vehicle patrols",242,NA,2021-10-10,NA
"Vehicle assistance responses",4,NA,2021-10-10,NA
"Held door checks",16,NA,2021-10-10,NA
"Escorts",1,NA,2021-10-10,NA
"Medical assistance responses",3,NA,2021-10-10,NA
"Unlocks",100,NA,2021-10-10,NA
"Suspicious circumstance responses",27,NA,2021-10-10,NA
"Building patrols",167,NA,2021-10-03,NA
"Foot patrols",308,NA,2021-10-03,NA
"Segway patrols",2,NA,2021-10-03,NA
"Vehicle patrols",197,NA,2021-10-03,NA
"Held door checks",20,NA,2021-10-03,NA
"Escorts",1,NA,2021-10-03,NA
"Unlocks",69,NA,2021-10-03,NA
"Suspicious circumstance responses",12,NA,2021-10-03,NA
